Height,Width,Thickness,Efficiency,Cleaned Efficiency,Model,N/A,N/A,N/A,Power output
1164,987,40,13.5,13.5,COS155P,NaN,NaN,,327.5652
1164,987,40,13.5,13.5,TSP140 (155),NaN,NaN,,327.5652
1164,987,40,13.5,13.5,WXS155P,NaN,NaN,,327.5652
1038,527,46,0.189,18.9,IEC 100W,NaN,NaN,,327.5329
1191,1067,35,12.2,12.2,SCN-170/155-72MS,NaN,NaN,,327.4386
1191,1067,35,12.2,12.2,TH-170/155-72MS,NaN,NaN,,327.4386
1191,1067,46.5,12.2,12.2,SDM-170/155-72MS,NaN,NaN,,327.4386
1024,990,40,13.8 ~ 15.29 ,15.29,DESERV 3M6-140-155,NaN,NaN,,327.3682
1189,535,35,13.92 ~ 16.24 ,16.24,SI-ESF-M-BIPV-SM-P125-36,NaN,NaN,,327.2705
1189,535,30,13.92 ~ 16.24 ,16.24,SI-ESF-M-BIPV-SM-M125-36,NaN,NaN,,327.2705
1189,535,25,13.92 ~ 16.24 ,16.24,SI-ESF-M-BIPV-GG-M125-36,NaN,NaN,,327.2705
1189,535,25,13.92 ~ 16.24 ,16.24,SI-ESF-M-BIPV-GG-P125-36,NaN,NaN,,327.2705
870,670,30,17.7 ~ 17.72 ,17.72,GP-090~085P-36,NaN,NaN,,327.2223
1190,1067,46.5,12.2,12.2,TSM(8x9) 155,NaN,NaN,,327.1637
1008,992,50,0.1547,15.47,PK 140-36,NaN,NaN,,326.7055
1008,992,50,0.1547,15.47,YHM15-40-18M,NaN,NaN,,326.7055
1008,992,50,0.1547,15.47,KS-Q20W,NaN,NaN,,326.7055
1165,990,46,13.4,13.4,ND-155AN,NaN,NaN,,326.4073
1166,989,40,13.4,13.4,ZT 155P,NaN,NaN,,326.3575
1100,510,30,0.1833,18.33,Mono SM80W,NaN,NaN,,325.7696
1080,990,25,14 ~ 14.4 ,14.4,BP-M150-155P-35b,NaN,NaN,,325.1737
1006,670,35,0.1522,15.22,JST100M(36),NaN,NaN,,324.992
1008,654,50,0.1547,15.47,PK 100-24,NaN,NaN,,323.0827
770,670,25,18 ~ 19.76 ,19.76,GP-085~075M-36,NaN,NaN,,322.9517
1024,546,2,0.182,18.2,HF 80,NaN,NaN,,322.3659
1024,546,2,0.182,18.2,KS-Q160PB,NaN,NaN,,322.3659
1178,989,39,13.1,13.1,LPG-153-3S(153),NaN,NaN,,322.3345
1005,670,35,0.151,15.1,P100W,NaN,NaN,,322.1091
1105,666,35,0.138,13.8,EC Series 100W,NaN,NaN,,321.7368
945,670,35,0.16,16,M100W,NaN,NaN,,320.9311
945,670,35,0.16,16,HimSol 48,NaN,NaN,,320.9311
1020,670,30,14.6 ~ 14.8 ,14.8,GSUN-6P-(100W,105W),NaN,,320.4217
1184,808,35,0.158,15.8,135M,NaN,NaN,,319.2376
1060,540,3,0.176,17.6,FSM-110F,NaN,NaN,,319.1519
1145,991,35,12.41 ~ 13.3 ,13.3,Poly SPT24P140-150,NaN,NaN,,318.7313
1145,991,35,12.41 ~ 13.3 ,13.3,Mono SPT24P140-150,NaN,NaN,,318.7313
975,670,35,0.154,15.4,ZT90S,NaN,NaN,,318.7024
1175,535,5,0.16,16,FSP-100M,NaN,NaN,,318.6374
1000,670,30,0.15,15,NS-100P6,NaN,NaN,,318.384
1188,999,40,12.7,12.7,WSP-150P6(151),NaN,NaN,,318.3315
1020,670,30,0.147,14.7,KPV100P-36,NaN,NaN,,318.2566
1014,669,35,0.148,14.8,SPM100P-TS-N,NaN,NaN,,318.0614
1014,669,35,0.148,14.8,SS-210M,NaN,NaN,,318.0614
1014,669,35,13.27 ~ 14.8 ,14.8,SPM090-100P-TS-F,NaN,NaN,,318.0614
1005,670,35,0.149,14.9,SY-100WP,NaN,NaN,,317.8427
1005,670,30,0.149,14.9,TS-S100M,NaN,NaN,,317.8427
1005,670,30,0.149,14.9,BL-SP100,NaN,NaN,,317.8427
1065,535,2,0.176,17.6,Flexible 100W,NaN,NaN,,317.6883
1196,534,35,15.7,15.7,SL080-12M100,NaN,NaN,,317.6561
1160,670,35,0.129,12.9,CSM 36.10000,NaN,NaN,,317.6199
1028,668,36,0.146,14.6,KS100T,NaN,NaN,,317.6198
1028,668,36,0.146,14.6,KS100T-24V,NaN,NaN,,317.6198
1155,560,3,0.155,15.5,mono flexible solar panel,NaN,NaN,,317.6047
1100,670,30,0.136,13.6,SZGD100P-12,NaN,NaN,,317.535
1100,670,30,0.136,13.6,SZGD100-36P,NaN,NaN,,317.535
1195,1066,46,11.8,11.8,SDM-170/150-72MS,NaN,NaN,,317.4688
1195,541,30,13.9 ~ 15.5 ,15.5,SN-M90-100,NaN,NaN,,317.4549
1195,541,35,13.1 ~ 15.5 ,15.5,DJ-85D-100D,NaN,NaN,,317.4549
1195,541,35,9.3 ~ 15.5 ,15.5,Mono 60-100,NaN,NaN,,317.4549
1195,541,30,13.1 ~ 15.5 ,15.5,YB85-36 - YB100-36,NaN,NaN,,317.4549
1178,989,39,12.9,12.9,FM150m (150 Wp),NaN,NaN,,317.4134
1178,989,39,12.9,12.9,FM150p (150 Wp),NaN,NaN,,317.4134
1150,665,34,13.1,13.1,WS-100,NaN,NaN,,317.3774
1092,660,457,0.139,13.9,MLS-A1-100,NaN,NaN,,317.3705
1060,540,2.5,0.175,17.5,SFED-F100SP,NaN,NaN,,317.3386
